,,,,
Model,Varient,Year,Ex-Showroom (rupees),Fuel type
INDICA,TERRA,2010,353000,PETROL
INDICA,AQUA,2010,379000,PETROL
INDICA,QUADRAJET,2010,477000,PETROL
INDICA,TERRA,2010,428000,DIESEL
INDICA,AQUA,2010,452000,DIESEL
INDICA-V2,QUADRAJET,2010,464000,DIESEL
INDICA-V2,L,1998,359000,DIESEL
INDICA-V2,DLE,1998,361000,DIESEL
INDICA-V2,DL ,1998,371000,DIESEL
INDICA-V2,LS,1998,392000,DIESEL
INDICA-V2,DLG,1998,394000,DIESEL
INDICA-V2,LE,1998,398000,DIESEL
INDICA-V2,DLS,1998,420000,DIESEL
INDICA-V2,LX,1998,426000,DIESEL
INDICA-V2,DLS DICOR ,1998,437000,DIESEL
INDICA-V2,DLX,1998,454000,DIESEL
INDICA-V2,DLG DIGOR,1998,488000,DIESEL
,,,,
INDIGO-MARINA,LS,2004,590000,DIESEL
INDIGO-MARINA,SX,2004,688000,DIESEL
INDIGO-MARINA,LX,2004,690000,DIESEL
INDIGO-MARINA,LX DICOR,2004,695000,DIESEL
,,,,
INDIGO,V,2002,436000,DIESEL
INDIGO,VE,2002,453000,DIESEL
INDIGO,VS,2002,475000,DIESEL
INDIGO,LS,2002,505000,DIESEL
INDIGO,LS DICOR,2002,529000,DIESEL
INDIGO,LX,2002,542000,DIESEL
INDIGO,LX DICOR,2002,588000,DIESEL
INDIGO,SX,2002,605000,DIESEL
INDIGO,GV,2002,387000,PETROL
INDIGO,GVE,2002,401000,PETROL
INDIGO,GVS,2002,439000,PETROL
INDIGO,GLS,2002,466000,PETROL
INDIGO,GSX,2002,571000,PETROL
,,,,
SUMO,LX,2011,701000,DIESEL
SUMO,CX,2011,755000,DIESEL
SUMO,FX,2011,805000,DIESEL
SUMO,EX,2011,849000,DIESEL
SUMO,GX,2011,1013000,DIESEL
,,,,
MANZA,AQUA SAFIRE,2011,642000,PETROL
MANZA,GLS,2011,671000,PETROL
MANZA,AURA SAFIRE,2011,681000,PETROL
MANZA,GLX,2011,697000,PETROL
MANZA,AURA ABS SAFIRE,2011,718000,PETROL
MANZA,GVX,2011,740000,PETROL
MANZA,ELAN SAFIRE,2011,801000,PETROL
MANZA,GEX,2011,848000,PETROL
MANZA,AQUA QADRAJET,2011,660000,DIESEL
MANZA,LS QUADRJET,2011,688000,DIESEL
MANZA,AURA QUADRAJET,2011,707000,DIESEL
MANZA,AURA ABS QUDRAJET,2011,755000,DIESEL
MANZA,LX QUADRAJET,2011,772000,DIESEL
MANZA,VX QUADRAJET,2011,846000,DIESEL
MANZA,ELAN QUADRAJET,2011,896000,DIESEL
MANZA,CELEBRATION QUADRAJET,2011,908000,DIESEL
MANZA,EX QUADRAJET,2011,957000,DIESEL
MANZA,EXL QUADRAJET,2011,981000,DIESEL
,,,,
HEXA,XE 4X2 6 STR,2017,1541000,DIESEL
HEXA,XE 4X2 7 STR,2017,1538000,DIESEL
HEXA,XM 4X2 7 STR,2017,1695000,DIESEL
HEXA,XM PLUS 4X2 7 STR,2017,1813000,DIESEL
HEXA,XT 4X2 6 STR,2017,1992000,DIESEL
HEXA,XT 4X2 7 STR,2017,1992000,DIESEL
HEXA,XT 4X4 6 STR,2017,2135000,DIESEL
HEXA,XT 4X4 7 STR,2017,2135000,DIESEL
,,,,
ARIA,PLEASURE 4X2,2010,1300000,DIESEL
ARIA,PLEASURE 4X4,2010,1587000,DIESEL
ARIA,PURE LX 4X2,2010,1360000,DIESEL
ARIA,PURE 4X2,2010,1360000,DIESEL
ARIA,PRIDE LEATHER 4X4,2010,1592000,DIESEL
ARIA,PRESTIGE 4X2,2010,1710000,DIESEL
ARIA,PRESTIGE 4X4,2010,1612000,DIESEL
ARIA,PRESTIGE LEATHER 4X4,2010,1779000,DIESEL
ARIA,PURE LX 4X2,2015,1269000,DIESEL
ARIA,PLEASEURE LX 4X2,2015,1511000,DIESEL
ARIA,PRIDE 4X4,2015,1832000,DIESEL
,,,,
NANO,BASE,2009,164000,PETROL
NANO,CX,2009,196000,PETROL
NANO,LX,2009,228000,PETROL
NANO,BASE,2011,169000,PETROL
NANO,CX,2011,223000,PETROL
NANO,CX SPECIAL ,2011,183000,PETROL
NANO,LX ,2011,252000,PETROL
NANO,LX SPECIAL,2011,212000,PETROL
NANO,STD,2013,150000,PETROL
NANO,STD SE,2013,156000,PETROL
NANO,CX,2013,171000,PETROL
NANO,LX,2013,198000,PETROL
NANO,CX,2015,204000,PETROL
NANO,TWIST XE,2015,206000,PETROL
NANO,LX,2015,210000,PETROL
NANO,TWIST XT,2015,243000,PETROL
,,,,
ZEST,XM,2014,766000,DIESEL
ZEST,XE 75 PS,2014,791000,DIESEL
ZEST,XMS,2014,796000,DIESEL
ZEST,XM 74 PS,2014,845000,DIESEL
ZEST,PREMIO,2014,868000,DIESEL
ZEST,XMS 75 PS,2014,873000,DIESEL
ZEST,XT ,2014,744000,DIESEL
ZEST,AMS ANNIVERSARY EDITION,2014,710000,DIESEL
ZEST,XE  ,2014,647000,PETROL
ZEST,XM,2014,722000,PETROL
ZEST,XMS,2014,743000,PETROL
ZEST,XT ,2014,807000,PETROL
ZEST,XMS ANNIVAERSARY EDITION,2014,602000,PETROL
,,,,
BOLT,XE,2015,730000,DIESEL
BOLT,XM,2015,781000,DIESEL
BOLT,XMS,2015,793000,DIESEL
BOLT,XT,2015,868000,DIESEL
BOLT,XE,2015,587000,DIESEL
BOLT,XM,2015,653000,PETROL
BOLT,XMS,2015,679000,PETROL
BOLT,XT,2015,753000,PETROL
,,,,
TIAGO,XB,2016,432000,DIESEL
TIAGO,XE,2016,514000,DIESEL
TIAGO,XE (O),2016,515000,DIESEL
TIAGO,XM,2016,549000,DIESEL
TIAGO,XM (O),2016,557000,DIESEL
TIAGO,WIZZ EDITION,2016,557000,DIESEL
TIAGO,XT,2016,582000,DIESEL
TIAGO,XT (O),2016,589000,DIESEL
TIAGO,XZ,2016,642000,DIESEL
TIAGO,XZ (O),2016,662000,DIESEL
TIAGO,XZ PLUS,2016,693000,DIESEL
TIAGO,XB,2016,346000,PETROL
TIAGO,XE,2016,434000,PETROL
TIAGO,XE (O),2016,444000,PETROL
TIAGO,XM,2016,465000,PETROL
TIAGO,XM (O),2016,475000,PETROL
TIAGO,WIZZ EDITION,2016,473000,PETROL
TIAGO,XT,2016,498000,PETROL
TIAGO,XT (O),2016,507000,PETROL
TIAGO,XZ ,2016,548000,PETROL
TIAGO,XZ (O),2016,568000,PETROL
TIAGO,XZ PLUS,2016,599000,PETROL
TIAGO,XE,2020,500000,PETROL
TIAGO,XM,2020,553000,PETROL
TIAGO,XT,2020,572000,PETROL
TIAGO,XZ,2020,613000,PETROL
TIAGO,XZ PLUS,2020,641000,PETROL
TIAGO,NRG,2020,692000,PETROL
TIAGO,JTP,2018,671000,PETROL
,,,,
TIGOR,XE,2017,605000,DIESEL
TIGOR,XM,2017,640000,DIESEL
TIGOR,XT,2017,682000,DIESEL
TIGOR,BUZZ,2017,690000,DIESEL
TIGOR,XZ,2017,712000,DIESEL
TIGOR,XZ(O),2017,750000,DIESEL
TIGOR,XE,2017,516000,PETROL
TIGOR,XM,2017,554000,PETROL
TIGOR,XT,2017,593000,PETROL
TIGOR,BUZZ,2017,603000,PETROL
TIGOR,XZ,2017,631000,PETROL
TIGOR,XZ(O),2017,661000,PETROL
TIGOR,XE,2018,668000,DIESEL
TIGOR,XM,2018,732000,DIESEL
TIGOR,XZ,2018,762000,DIESEL
TIGOR,XZ PLUS,2018,817000,DIESEL
TIGOR,XE,2018,574000,PETROL
TIGOR,XM,2018,629000,PETROL
TIGOR,XZ,2018,659000,PETROL
TIGOR,XZ PLUS,2018,709000,PETROL
TIGOR,XE,2018,568000,PETROL
TIGOR,XM,2018,628000,PETROL
TIGOR,XZ,2018,669000,PETROL
TIGOR,XZ PLUS,2018,730000,PETROL
TIGOR EV,XE,2021,1199000,ELECTRIC
TIGOR EV,XM ,2021,1249000,ELECTRIC
TIGOR EV,XZ PLUS,2021,1299000,ELECTRIC
,,,,
,,,,
PUNCH,PURE,2021,549000,PETROL
PUNCH,PURE RYTHYM,2021,584000,PETROL
PUNCH,ADVENTURE ,2021,639000,PETROL
PUNCH,ADVENTURE RYTHYM,2021,674000,PETROL
PUNCH,ACCOMPLISHED,2021,729000,PETROL
PUNCH,ACCOMPLISHED DAZZLE,2021,774000,PETROL
PUNCH,CREATIVE ,2021,849000,PETROL
PUNCH,CREATIVE IRA PACK,2021,879000,PETROL
,,,,
ALTROZ,XE,2020,705000,DIESEL
ALTROZ,XE PLUS,2020,755000,DIESEL
ALTROZ,XM PLUS,2020,800000,DIESEL
ALTROZ,XT,2020,855000,DIESEL
ALTROZ,XZ ,2020,910000,DIESEL
ALTROZ,XZ (O),2020,922000,DIESEL
ALTROZ,XZ PLUS,2020,965000,DIESEL
ALTROZ,XE,2020,589000,PETROL
ALTROZ,XE PLUS,2020,635000,PETROL
ALTROZ,XM PLUS,2020,685000,PETROL
ALTROZ,XT,2020,739000,PETROL
ALTROZ,XZ,2020,794000,PETROL
ALTROZ,XZ (O),2020,807000,PETROL
ALTROZ,XZ PLUS,2020,850000,PETROL
ALTROZ,XT I TURBO,2020,808000,PETROL
ALTROZ,XZ (O) I TURBO,2020,875000,PETROL
ALTROZ,XZ PLUS DARK EDITION,2020,875000,PETROL
ALTROZ,XZ PLUS I TURBO,2020,918000,PETROL
ALTROZ,XZ PLUS I TURBO DARK EDITION,2020,943000,PETROL
,,,,
NEXON,XE,2017,797000,DIESEL
NEXON,KRAZ,2017,836000,DIESEL
NEXON,XM,2017,876000,DIESEL
NEXON,KRAZ PLUS,2017,889000,DIESEL
NEXON,KRAZ MT,2017,890000,DIESEL
NEXON,XT,2017,910000,DIESEL
NEXON,XT PLUS,2017,935000,DIESEL
NEXON,XZ ,2017,1052000,DIESEL
NEXON,XZ PLUS,2017,1073000,DIESEL
NEXON,XE,2017,682000,PETROL
NEXON,KRAZ,2017,738000,PETROL
NEXON,XM,2017,771000,PETROL
NEXON,KRAZ MT,2017,781000,PETROL
NEXON,KRAZ PLUS,2017,796000,PETROL
NEXON,XT,2017,815000,PETROL
NEXON,XT PLUS,2017,837000,PETROL
NEXON,XZ,2017,876000,PETROL
NEXON,XZ PLUS,2017,958000,PETROL
NEXON,XE,2019,860000,DIESEL
NEXON,XM ,2019,959000,DIESEL
NEXON,XM (S),2019,1000000,DIESEL
NEXON,XZ,2019,1071000,DIESEL
NEXON,XZ PLUS,2019,1135000,DIESEL
NEXON,XZ PLUS DARK EDITION,2019,1175000,DIESEL
NEXON,XZ PLUS (S),2019,1204000,DIESEL
NEXON,XZ PLUS (O),2019,1234000,DIESEL
NEXON,XZ PLUS (O) DARK EDITION,2019,1270000,DIESEL
NEXON,XE,2019,730000,PETROL
NEXON,XM,2019,829000,PETROL
NEXON,XM (S),2019,886000,PETROL
NEXON,XZ,2019,936000,PETROL
NEXON,XZ PLUS,2019,999000,PETROL
NEXON,XZ PLUS DARK EDITION,2019,1040000,PETROL
NEXON,XZ PLUS (S),2019,1069000,PETROL
NEXON,XZ PLUS (O),2019,1099000,PETROL
NEXON,XZ PLUS (O) DARK EDITION,2019,1135000,PETROL
NEXON EV,XM ,2020,1424000,ELECTRIC
NEXON EV,XZ PLUS,2020,1565000,ELECTRIC
NEXON EV,XZ PLUS DARK EDITION,2020,1599000,ELECTRIC
NEXON EV,XZ PLUS LUX,2020,1665000,ELECTRIC
NEXON EV,XZ PLUS LUX DARK EDITION,2020,1685000,ELECTRIC
,,,,
HARRIER,XE,2019,1439000,DIESEL
HARRIER,XM,2019,1579000,DIESEL
HARRIER,XT,2019,1704000,DIESEL
HARRIER,XT DARK EDITION,2019,1707000,DIESEL
HARRIER,XT PLUS,2019,1784000,DIESEL
HARRIER,XZ ,2019,1839000,DIESEL
HARRIER,XZ DARK EDITION,2019,1836000,DIESEL
HARRIER,XZ PLUS,2019,1964000,DIESEL
HARRIER,XZ PLUS DARK EDITION,2019,1994000,DIESEL
HARRIER,XE,2020,1439000,DIESEL
HARRIER,XM,2020,1579000,DIESEL
HARRIER,XT,2020,1704000,DIESEL
HARRIER,XT DARK EDITION,2020,1707000,DIESEL
HARRIER,XT PLUS,2020,1784000,DIESEL
HARRIER,XT PLUS DARK EDITION,2021,1814000,DIESEL
HARRIER,XZ DARK EDITION,2020,1836000,DIESEL
HARRIER,XZ,2020,1839000,DIESEL
HARRIER,XZ PLUS,2020,1964000,DIESEL
HARRIER,XZ PLUS DARK EDITION,2020,1994000,DIESEL
,,,,
SAFARI,EX 4X2 ,2010,898000,PETROL
SAFARI,EXI 4X2,2010,900000,PETROL
SAFARI,EXI 4X4,2010,985000,PETROL
SAFARI,EX 4X2 ,2010,1289000,DIESEL
SAFARI,EX 4X4,2010,677000,DIESEL
SAFARI,LX 4X4,2010,677000,DIESEL
SAFARI,LX 4X2,2010,677000,DIESEL
SAFARI,XE,2021,1499000,DIESEL
SAFARI,XM,2021,1654000,DIESEL
SAFARI,XT,2021,1799000,DIESEL
SAFARI,XT PLUS,2021,1879000,DIESEL
SAFARI,XZ,2021,1969000,DIESEL
SAFARI,XZ PLUS,2021,2053000,DIESEL
SAFARI,XZ PLUS GOLD,2021,2190000,DIESEL
,,,,
SAFARI-STORME,LX 4X2,2017,1097000,DIESEL
SAFARI-STORME,EX 4X2 ,2017,1316000,DIESEL
SAFARI-STORME,VX 4X2,2017,1327000,DIESEL
SAFARI-STORME,VX 4X4,2017,1462000,DIESEL
SAFARI-STORME,VX 4X2 VARICOR 400,2017,1471000,DIESEL
SAFARI-STORME,EX 4X4,2017,1533000,DIESEL
SAFARI-STORME,VX 4X4 VARICOR,2017,1635000,DIESEL
